Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1231,Dr Atulbaba Suresh Bhosale,KARAD SOUTH,BJP,0,Graduate Professional,"Rs 82,57,92,062 ~ 82 Crore+","Rs 2,74,83,648 ~ 2 Crore+"
1232,Dr Dhananjay Alias Baba Nalat,AKOLA WEST,BSP,0,Graduate Professional,"Rs 5,08,43,000 ~ 5 Crore+",Rs 0 ~
1233,Dr Jalinder Ghige,RAHURI,IND,1,Graduate Professional,,
1234,Dr Jitesh Vasant Salwe,MEHKAR (SC),IND,0,Graduate Professional,"Rs 3,37,219 ~ 3 Lacs+",Rs 0 ~
1235,Dr Mobin Khan Ayyub Khan,CHIKHLI,IND,1,Graduate Professional,"Rs 66,09,000 ~ 66 Lacs+","Rs 11,197 ~ 11 Thou+"
1236,Dr Nitin Kashinath Raut,NAGPUR NORTH (SC),INC,3,Doctorate,,
1237,Dr Prakash Shankar Ramteke,CHANDRAPUR (SC),IND,0,Post Graduate,"Rs 83,95,000 ~ 83 Lacs+","Rs 54,00,000 ~ 54 Lacs+"
1238,Dr Pranay Subhash Chandekar,SAVNER,Prahar Janshakti Party,0,Post Graduate,"Rs 91,71,238 ~ 91 Lacs+","Rs 67,994 ~ 67 Thou+"
1239,Dr Praveen Janardhan Patil,JALGAON (JAMOD),Vanchit Bahujan Aaghadi,0,Post Graduate,,
1240,Dr Rajendra Bhaskarrao Shingne,SINDHKHED RAJA,NCP-Sharadchandra Pawar,1,Graduate Professional,"Rs 15,70,78,205 ~ 15 Crore+","Rs 1,95,25,295 ~ 1 Crore+"
1241,Dr Rajesh Tukaram Manwatkar,BHUSAWAL (SC),INC,0,Post Graduate,"Rs 25,09,64,874 ~ 25 Crore+","Rs 2,71,48,449 ~ 2 Crore+"
1242,Dr Ramesh Subrao Bansode,OSMANABAD,Bhartiya Jan Vikas Aaghadi,0,12th Pass,,
1243,Dr Rutuja Rushank Chavan,MEHKAR (SC),Vanchit Bahujan Aaghadi,0,Graduate Professional,"Rs 67,35,100 ~ 67 Lacs+","Rs 45,00,000 ~ 45 Lacs+"
1244,Dr Sanjayrao Tayde Patil,GANGAPUR,IND,0,Graduate,"Rs 41,96,000 ~ 41 Lacs+","Rs 8,00,000 ~ 8 Lacs+"
1245,Dr Santosh Chandrabhan Tayade,MEHKAR (SC),IND,0,Doctorate,,
1246,Dr Siddharth Rajendra Takankhar,MAJALGAON,BSP,0,Doctorate,"Rs 18,88,000 ~ 18 Lacs+","Rs 7,98,655 ~ 7 Lacs+"
1247,Dr Suresh Eknath Ghumatkar,SINDHKHED RAJA,Janhit Lokshahi Party,0,Doctorate,"Rs 70,42,000 ~ 70 Lacs+","Rs 9,00,000 ~ 9 Lacs+"
1248,Dr Swati Sandip Wakekar,JALGAON (JAMOD),INC,1,Graduate Professional,,
1249,Dr Vasant Uttam Rathod,PANVEL,Digital Organization of Nation Party,0,Graduate Professional,"Rs 2,28,10,000 ~ 2 Crore+","Rs 42,80,000 ~ 42 Lacs+"
1250,Dr Vikasraje Kashinath Barbande,KANNAD,Hindu Samaj Party,2,12th Pass,"Rs 24,82,200 ~ 24 Lacs+",Rs 0 ~
1251,Dr. Abhijeet Vamanrao Avade-Bichukale,SATARA,IND,1,Graduate,,
1252,Dr. Abhilasha Gaoture (Behere),BALLARPUR,IND,0,Graduate Professional,"Rs 6,05,84,329 ~ 6 Crore+","Rs 1,44,77,133 ~ 1 Crore+"
1253,Dr. Abrar,AMRAVATI,Prahar Janshakti Party,1,Graduate Professional,"Rs 2,72,25,276 ~ 2 Crore+","Rs 51,31,732 ~ 51 Lacs+"
1254,Dr. Ahirrao Rajashri Tahasildartai,DEOLALI (SC),Shiv Sena,1,Graduate Professional,,
1255,Dr. Ajanikar Vijay Raghunathrao,LATUR RURAL,Vanchit Bahujan Aaghadi,1,Graduate Professional,"Rs 3,74,83,428 ~ 3 Crore+","Rs 1,48,00,000 ~ 1 Crore+"
1256,Dr. Akash Nandkumar Vhatkar,MIRAJ (SC),BSP,0,Graduate Professional,"Rs 3,11,463 ~ 3 Lacs+",Rs 0 ~
1257,Dr. Amale Mangesh Mahadeo,BELAPUR,IND,0,Doctorate,,
1258,Dr. Amle Pundalik Gomaji,KINWAT,Vanchit Bahujan Aaghadi,0,Graduate Professional,"Rs 59,77,258 ~ 59 Lacs+","Rs 18,00,000 ~ 18 Lacs+"
1259,Dr. Anagha Chhatrapati,SHIVADI,IND,0,Post Graduate,"Rs 57,00,000 ~ 57 Lacs+","Rs 90,00,000 ~ 90 Lacs+"
1260,Dr. Anil Kashinath Kokate,SHRIGONDA,IND,0,Others,,
1261,Dr. Anil Nathu Shinde,AMALNER,INC,2,Graduate Professional,"Rs 6,54,68,210 ~ 6 Crore+","Rs 2,03,82,684 ~ 2 Crore+"
1262,Dr. Anuj Krushna Patil,JALGAON CITY,MNS,0,Graduate Professional,"Rs 3,92,29,901 ~ 3 Crore+","Rs 2,16,00,000 ~ 2 Crore+"
1263,Dr. Arhchana Patil Chakurkar,LATUR CITY,BJP,2,Graduate Professional,,
1264,Dr. Ashish Shankarrao Somankar,HINGNA,IND,0,Graduate Professional,"Rs 54,61,478 ~ 54 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
1265,Dr. Ashwin Shantaram Sonawane,JALGAON CITY,IND,1,Graduate Professional,"Rs 6,87,13,725 ~ 6 Crore+","Rs 44,71,293 ~ 44 Lacs+"
1266,Dr. Ashwini Landge (Gajbhiye),BHANDARA (SC),MNS,0,Graduate Professional,,
1267,Dr. Avinash Niranjan Shinde,DEOLALI (SC),Vanchit Bahujan Aaghadi,10,10th Pass,"Rs 14,75,21,000 ~ 14 Crore+","Rs 76,49,000 ~ 76 Lacs+"
1268,Dr. Avinash Raghunath Nanhe,SAKOLI,Vanchit Bahujan Aaghadi,0,Post Graduate,"Rs 2,11,45,949 ~ 2 Crore+","Rs 24,21,213 ~ 24 Lacs+"
1269,Dr. Baban Ramdas Kamble,ARJUNI MORGAON (SC),IND,0,Post Graduate,,
1270,Dr. Babasaheb Annasaheb Deshmukh,SANGOLA,Peasants And Workers Party of India,2,Post Graduate,"Rs 1,58,89,675 ~ 1 Crore+","Rs 9,000 ~ 9 Thou+"
1271,Dr. Badole Vinod Kashiramji,GONDIA,IND,0,Post Graduate,"Rs 5,50,000 ~ 5 Lacs+","Rs 11,50,000 ~ 11 Lacs+"
1272,Dr. Balaji Pralhad Kinikar,AMBARNATH (SC),Shiv Sena,0,Graduate Professional,,
1273,Dr. Balasaheb Arjun Pol,PUNE CANTONMENT (SC),IND,4,Graduate Professional,"Rs 10,06,039 ~ 10 Lacs+","Rs 95,859 ~ 95 Thou+"
1274,Dr. Balasaheb Thorat,AURANGABAD CENTRAL,Shiv Sena (Uddhav Balasaheb Thackeray),6,Doctorate,"Rs 6,59,98,025 ~ 6 Crore+","Rs 2,92,73,010 ~ 2 Crore+"
1275,Dr. Bandu Baburao Meshram,BHANDARA (SC),Peoples Party of India (Democratic),0,Doctorate,,
1276,Dr. Basavraj Mallesha Bagale,SOLAPUR SOUTH,IND,1,12th Pass,"Rs 1,03,75,000 ~ 1 Crore+","Rs 17,00,000 ~ 17 Lacs+"
1277,Dr. Bhagwan Khanderao Sarwade,MAJALGAON,IND,0,Graduate Professional,"Rs 7,22,000 ~ 7 Lacs+",Rs 0 ~
1278,Dr. Bharat Kasam Devalekar Sarkar,SHAHUWADI,MNS,1,Doctorate,,
1279,Dr. Bharati Lavekar,VERSOVA,BJP,0,Doctorate,"Rs 7,73,02,816 ~ 7 Crore+",Rs 0 ~
1280,Dr. Chetan Gajanan Khutemate,WARORA,IND,2,Post Graduate,"Rs 15,63,07,633 ~ 15 Crore+","Rs 7,35,33,911 ~ 7 Crore+"
1281,Dr. Dilip Maske (Naik),KALAMNURI,Vanchit Bahujan Aaghadi,0,Graduate Professional,,
1282,Dr. Gaikwad Jyoti Eknath,DHARAVI (SC),INC,0,Post Graduate,"Rs 12,14,54,711 ~ 12 Crore+","Rs 1,47,21,388 ~ 1 Crore+"
1283,Dr. Harshal Manohar Mane (Patil),ERANDOL,IND,0,Graduate Professional,"Rs 6,22,34,902 ~ 6 Crore+","Rs 4,46,62,199 ~ 4 Crore+"
1284,Dr. Heena Vijaykumar Gavit,AKKALKUWA (ST),IND,0,Post Graduate,,
1285,Dr. Hemant Nanda Chimote,MELGHAT (ST),INC,1,Post Graduate,"Rs 2,61,15,145 ~ 2 Crore+","Rs 2,00,27,510 ~ 2 Crore+"
1286,Dr. J.K.Jadhav,VAIJAPUR,Prahar Janshakti Party,6,Post Graduate,"Rs 32,12,56,054 ~ 32 Crore+","Rs 3,76,32,712 ~ 3 Crore+"
1287,Dr. Janu Jagdeo Mankar,AMBARNATH (SC),IND,2,Graduate Professional,,
1288,Dr. Jyotsna Bhanudas Jadhav,KURLA (SC),IND,0,Graduate Professional,"Rs 2,86,04,055 ~ 2 Crore+",Rs 0 ~
1289,Dr. Kailashchandra Janardhan Bansode,PHOLAMBARI,Viduthalai Chiruthaigal Katchi,0,Graduate Professional,"Rs 1,90,000 ~ 1 Lacs+","Rs 14,90,000 ~ 14 Lacs+"
1290,Dr. Kiran Yamaji Lahamate,AKOLE (ST),NCP,0,Graduate Professional,,
1291,Dr. Kolekar Shashikant Duryodhan,TASGAON-KAVATHE MAHANKAL,Janhit Lokshahi Party,0,Doctorate,"Rs 69,72,000 ~ 69 Lacs+","Rs 2,50,000 ~ 2 Lacs+"
1292,Dr. Kunal Vishwanath Dhoke,NAGPUR NORTH (SC),IND,0,Doctorate,"Rs 41,20,712 ~ 41 Lacs+",Rs 0 ~
1293,Dr. Madhav Sambhajirao Vibhute,NAIGAON,Vanchit Bahujan Aaghadi,0,Graduate Professional,,
1294,Dr. Mahavir Dharmaraj Sonwane,KAIJ (SC),IND,0,10th Pass,"Rs 1,86,07,000 ~ 1 Crore+",Rs 0 ~
1295,Dr. Meenal Patil Khatgaonkar,NAIGAON,INC,0,Post Graduate,"Rs 38,44,06,767 ~ 38 Crore+","Rs 6,18,46,375 ~ 6 Crore+"
1296,Dr. Milind Mane,NAGPUR NORTH (SC),BJP,10,Post Graduate,,
1297,Dr. Milind Ramji Narote,GADCHIROLI (ST),BJP,0,Graduate Professional,"Rs 1,08,29,758 ~ 1 Crore+","Rs 1,37,198 ~ 1 Lacs+"
1298,Dr. Mohan Vitthalrao More,UMARKHED (SC),IND,0,Post Graduate,"Rs 10,20,74,799 ~ 10 Crore+","Rs 57,25,000 ~ 57 Lacs+"
1299,Dr. Mohmmad Zameer Sabiroddin,MALKAPUR,Vanchit Bahujan Aaghadi,0,Graduate,,
1300,Dr. Mukund Yashvant Dhone,TEOSA,BSP,0,Others,"Rs 4,60,000 ~ 4 Lacs+",Rs 0 ~
1301,Dr. Narsinha Udhavrao Bhikane,AHMEDPUR,MNS,0,Graduate Professional,"Rs 5,08,23,000 ~ 5 Crore+","Rs 2,98,000 ~ 2 Lacs+"
1302,Dr. Nilesh Tarachand Vishvkarma,DHAMANGAON RAILWAY,Vanchit Bahujan Aaghadi,6,Post Graduate,,
1303,Dr. Nilkanth Narahar Patil,PACHORA,IND,0,Post Graduate,"Rs 5,98,32,890 ~ 5 Crore+","Rs 4,14,12,112 ~ 4 Crore+"
1304,Dr. Pankaj Rajesh Bhoyar,WARDHA,BJP,1,Doctorate,"Rs 26,00,89,255 ~ 26 Crore+","Rs 3,85,25,183 ~ 3 Crore+"
1305,Dr. Pipada Rajendra Madanlal,SHIRDI,IND,0,Others,,
1306,Dr. Prabhakar Budhavant,JINTUR,Rashtriya Samaj Paksha,0,Doctorate,"Rs 3,02,32,228 ~ 3 Crore+",Rs 0 ~
1307,Dr. Pramod Motiram Duthade,AURANGABAD CENTRAL,Prahar Janshakti Party,0,Post Graduate,"Rs 2,69,32,176 ~ 2 Crore+","Rs 12,76,382 ~ 12 Lacs+"
1308,Dr. Prof. Sujata Vishwasrao Athawale,DARYAPUR (SC),IND,0,Doctorate,,
1309,Dr. Rahul Kalidas Meshram,BRAMHAPURI,Vanchit Bahujan Aaghadi,1,Graduate Professional,"Rs 36,15,325 ~ 36 Lacs+","Rs 22,70,000 ~ 22 Lacs+"
1310,Dr. Rahul Vedprakash Patil,PARBHANI,Shiv Sena (Uddhav Balasaheb Thackeray),5,Graduate Professional,"Rs 6,10,30,048 ~ 6 Crore+","Rs 1,65,05,220 ~ 1 Crore+"
1311,Dr. Rohan Nimbaji Borse,NANDGAON,IND,0,Graduate Professional,,
1312,Dr. Sambhajiraje R. Patil,ERANDOL,IND,0,Graduate Professional,"Rs 7,48,98,239 ~ 7 Crore+","Rs 1,39,38,360 ~ 1 Crore+"
1313,Dr. Sandeep Shankarrao Adke,SOLAPUR CITY CENTRAL,IND,0,Post Graduate,"Rs 1,83,55,274 ~ 1 Crore+","Rs 19,61,000 ~ 19 Lacs+"
1314,Dr. Sanjay Tulshiram Londhe,KALAMNURI,Rashtriya Samaj Paksha,1,Graduate Professional,,
1315,Dr. Santosh Kautika Tarfe,KALAMNURI,Shiv Sena (Uddhav Balasaheb Thackeray),0,Graduate Professional,"Rs 3,00,67,758 ~ 3 Crore+","Rs 1,18,36,104 ~ 1 Crore+"
1316,Dr. Sharad Dagadu Deshmukh,AIROLI,Sambhaji Brigade Party,0,Graduate Professional,"Rs 3,61,35,000 ~ 3 Crore+","Rs 8,00,000 ~ 8 Lacs+"
1317,Dr. Shilu Chimurkar Pendam,ARMORI (ST),IND,0,Post Graduate,,
1318,Dr. Shirish Ramkrishna Puntambekar,KOLHAPUR NORTH,IND,0,Graduate Professional,"Rs 20,60,000 ~ 20 Lacs+",Rs 0 ~
1319,Dr. Somadatta Brahmanand Karanjekar,SAKOLI,IND,0,Doctorate,"Rs 1,21,74,452 ~ 1 Crore+",Rs 0 ~
1320,Dr. Sonal Chetan Kowe,GADCHIROLI (ST),IND,0,Graduate Professional,,
1321,Dr. Sulakshana Shilwant-Dhar,PIMPRI (SC),NCP-Sharadchandra Pawar,0,Graduate,"Rs 1,09,75,380 ~ 1 Crore+",Rs 0 ~
1322,Dr. Sunil Panjabrao Deshmukh,AMRAVATI,INC,0,Post Graduate,"Rs 14,67,43,297 ~ 14 Crore+","Rs 20,79,265 ~ 20 Lacs+"
1323,Dr. Sunilbhau Vishvanathji Narnaware,KATOL,Republican Party of India (Khobragade),0,Graduate Professional,,
1324,Dr. Suresh(Bhau) Dagadu Khade,MIRAJ (SC),BJP,1,Doctorate,"Rs 6,08,10,502 ~ 6 Crore+","Rs 62,15,971 ~ 62 Lacs+"
1325,Dr. Umesh Somaji Waware,HINGANGHAT,IND,0,Doctorate,"Rs 2,78,16,641 ~ 2 Crore+","Rs 95,00,000 ~ 95 Lacs+"
1326,Dr. Varsha Gopinath Rathod,KARANJA,IND,3,Post Graduate,,
1327,Dr. Venkatesh Wangwad,KHADAKWASALA,IND,0,Doctorate,"Rs 34,80,000 ~ 34 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
1328,Dr. Vinay Vilasrao Kore (Savkar),SHAHUWADI,Jan Surajya Shakti,0,12th Pass,"Rs 6,65,73,352 ~ 6 Crore+",Rs 0 ~
1329,Dr. Vinod Maroti Rangari,NAGPUR WEST,Bahujan Republican Socialist Party,0,Graduate Professional,,
1330,Dr. Vishal Anandrao Mane,BELAPUR,IND,0,Post Graduate,"Rs 72,32,263 ~ 72 Lacs+","Rs 16,69,228 ~ 16 Lacs+"
1331,Dr. Vishwas Valvi,BOISAR (ST),Shiv Sena (Uddhav Balasaheb Thackeray),5,Graduate Professional,"Rs 40,37,40,825 ~ 40 Crore+","Rs 23,46,885 ~ 23 Lacs+"
1332,Dr.Abhijeet Wamanrao Awade-Bichukale.,BARAMATI,IND,1,Graduate,,
1333,Dr.Aher Rahul Daulatrao,CHANDWAD,BJP,0,Post Graduate,"Rs 32,26,16,814 ~ 32 Crore+","Rs 1,46,66,452 ~ 1 Crore+"
1334,Dr.Amol Ranjeet Deshmukh,SAVNER,IND,1,Post Graduate,"Rs 20,37,70,766 ~ 20 Crore+","Rs 6,32,16,327 ~ 6 Crore+"
1335,Dr.Anand Mahadeo Kasle,MULUND,IND,0,Doctorate,,
1336,Dr.Arjunkumar Seetaram Rathod,BHOKAR,Jan Janwadi Party,2,Doctorate,"Rs 2,85,13,000 ~ 2 Crore+","Rs 50,000 ~ 50 Thou+"
1337,Dr.Balasaheb Alias Somnath Arjun Pol,KHADAKWASALA,IND,4,Graduate Professional,"Rs 10,06,039 ~ 10 Lacs+","Rs 95,859 ~ 95 Thou+"
1338,Dr.Chetanbhai Ingale,RISOD,Republican Sena,0,Graduate,,
1339,Dr.Dinesh Pardeshi,VAIJAPUR,Shiv Sena (Uddhav Balasaheb Thackeray),0,Graduate Professional,"Rs 3,69,11,757 ~ 3 Crore+","Rs 1,77,06,500 ~ 1 Crore+"
1340,Dr.Ganesh Vilasrao Waikar,HATKANANGLE (SC),Republican Party of India (A),1,8th Pass,"Rs 13,05,000 ~ 13 Lacs+","Rs 6,20,569 ~ 6 Lacs+"
1341,Dr.Jitendra Yuvraj Thakur,SHIRPUR (ST),IND,0,Post Graduate,,
1342,Dr.Jyoti Vinayakrao Mete,BEED,IND,0,Graduate Professional,"Rs 14,70,49,429 ~ 14 Crore+","Rs 1,17,30,933 ~ 1 Crore+"
1343,Dr.Kolte Yogendra Vitthal,MALKAPUR,IND,0,Post Graduate,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~
1344,Dr.Kranti Dilip Sawant,HATKANANGLE (SC),Vanchit Bahujan Aaghadi,0,Graduate Professional,,
1345,Dr.Niraj Waghmare,YAVATMAL,Vanchit Bahujan Aaghadi,4,10th Pass,"Rs 19,55,000 ~ 19 Lacs+","Rs 2,97,000 ~ 2 Lacs+"
1346,Dr.Nitin Waghe,LATUR RURAL,Sampoorna Bharat Kranti Party,0,Graduate Professional,"Rs 1,07,37,000 ~ 1 Crore+",Rs 0 ~
1347,Dr.Rahul Bhimrao Ghule,PARANDA,Rashtriya Samaj Paksha,0,Graduate Professional,,
1348,Dr.Rahul Vitthal Ahire,SINNAR,IND,0,Graduate Professional,"Rs 1,41,87,000 ~ 1 Crore+","Rs 18,50,000 ~ 18 Lacs+"
1349,Dr.Shankardada Mane,TASGAON-KAVATHE MAHANKAL,BSP,2,10th Pass,"Rs 44,55,630 ~ 44 Lacs+","Rs 70,000 ~ 70 Thou+"
1350,Dr.Sneha Apparao Sonkate,TULJAPUR,Vanchit Bahujan Aaghadi,0,Post Graduate,,
1351,Dr.Sujit Vasantrao Minchekar,HATKANANGLE (SC),Swabhimani Paksha,1,Graduate Professional,"Rs 4,19,21,259 ~ 4 Crore+","Rs 32,26,986 ~ 32 Lacs+"
1352,Dr.Udaykumar Vasantrao Jagtap,PURANDAR,IND,0,Graduate Professional,"Rs 3,37,81,263 ~ 3 Crore+","Rs 7,33,526 ~ 7 Lacs+"
1353,Dr.Vijaykumar Krushanrao Gavit,NANDURBAR (ST),BJP,0,Post Graduate,,
1354,Duneshwar Suryabhan Pethe,NAGPUR EAST,NCP-Sharadchandra Pawar,3,Graduate,"Rs 19,04,73,846 ~ 19 Crore+","Rs 1,24,22,000 ~ 1 Crore+"
1355,Durgesh Bisen,GONDIA,IND,0,Post Graduate,"Rs 70,39,946 ~ 70 Lacs+","Rs 21,25,000 ~ 21 Lacs+"
1356,Ejaz Baig Aziz Baig,MALEGAON CENTRAL,INC,3,8th Pass,,
1357,Ejaz Nawaj Khan,DIGRAS,IND,0,8th Pass,"Rs 2,86,800 ~ 2 Lacs+",Rs 0 ~
1358,Ekanath Hanmant Shembade,SANGOLA,IND,0,12th Pass,"Rs 3,34,494 ~ 3 Lacs+","Rs 1,98,780 ~ 1 Lacs+"
1359,Ekde Rajesh Panditrao,MALKAPUR,INC,2,12th Pass,,
1360,Eknath Dada Pawar,LOHA,IND,0,Literate,"Rs 15,57,000 ~ 15 Lacs+","Rs 60,000 ~ 60 Thou+"
1361,Eknath Khanderao Jadhav,VAIJAPUR,IND,1,Others,"Rs 33,68,80,548 ~ 33 Crore+","Rs 15,17,41,372 ~ 15 Crore+"
1362,Eknath Sambhaji Shinde,KOPRI-PACHPAKHADI,Shiv Sena,9,Graduate,,
1363,Eknath Vishnu Suse,SHEVGAON,IND,0,Graduate,"Rs 4,25,500 ~ 4 Lacs+","Rs 16,50,000 ~ 16 Lacs+"
1364,Eknathdada Pawar,LOHA,Shiv Sena (Uddhav Balasaheb Thackeray),11,10th Pass,"Rs 16,40,66,818 ~ 16 Crore+","Rs 86,62,161 ~ 86 Lacs+"
1365,Eng. Jelsing Bijala Pawara,AKKALKUWA (ST),IND,0,Graduate Professional,,
1366,Engg. Satyawan Vijay Ombase,MAN,Swarajya Sena (Maharashtra),0,Graduate Professional,"Rs 22,500 ~ 22 Thou+",Rs 0 ~
1367,Engg. Suresh Kisanrao Phad,PATHRI,Vanchit Bahujan Aaghadi,0,Others,"Rs 2,54,82,000 ~ 2 Crore+","Rs 23,35,000 ~ 23 Lacs+"
1368,Engg.Kiran Damodar Tadavi,NANDURBAR (ST),INC,0,Others,,
1369,Engg.Mahesh Dashrath Mhaske,KOTHRUD,BSP,0,Others,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~
1370,Engineer Budhabhushan Vasant Paikrao,KALAMNURI,IND,0,Graduate Professional,"Rs 6,25,000 ~ 6 Lacs+",Rs 0 ~
1371,Er. Avinash Dhanwate,TEOSA,Peoples Party of India (Democratic),0,Graduate Professional,,
1372,Er. Kalyani Sujitkumar Waghmode,BARAMATI,IND,0,Graduate,"Rs 72,69,000 ~ 72 Lacs+",Rs 0 ~
1373,Er. Mohan Gokul Suryawanshi,SAKRI (ST),IND,0,Others,"Rs 13,11,60,877 ~ 13 Crore+","Rs 13,25,000 ~ 13 Lacs+"
1374,Er. Prashant Dinkar Patil,ERANDOL,Swabhimani Paksha,0,Graduate Professional,,
1375,Er. Rajshri Ashok Ingle,NAGPUR SOUTH,Peoples Party of India (Democratic),0,Post Graduate,"Rs 38,68,000 ~ 38 Lacs+","Rs 7,800 ~ 7 Thou+"
1376,Er. Swapnil Bhagwan Patil,ERANDOL,IND,0,Others,"Rs 78,99,552 ~ 78 Lacs+","Rs 14,00,000 ~ 14 Lacs+"
1377,Er. Vikrant Surendra Meshram,KAMTHI,BSP,0,Graduate Professional,,
1378,Er.Prashant Viraj Ingole,NANDED NORTH,Vanchit Bahujan Aaghadi,4,Graduate Professional,"Rs 4,92,40,299 ~ 4 Crore+","Rs 4,20,000 ~ 4 Lacs+"
1379,Fadkale Sandeep Hari,GUHAGAR,IND,0,8th Pass,"Rs 12,16,000 ~ 12 Lacs+","Rs 12,30,000 ~ 12 Lacs+"
1380,Fahad Ahmad,ANUSHAKTI NAGAR,NCP-Sharadchandra Pawar,1,Post Graduate,,
1381,Faiyaz Ahmed,BYCULLA,All India Majlis-E-Ittehadul Muslimeen,2,12th Pass,"Rs 2,63,06,953 ~ 2 Crore+","Rs 5,49,753 ~ 5 Lacs+"
1382,Faiyyaz Ahamad Ansari,KAMTHI,IND,0,8th Pass,"Rs 1,16,40,650 ~ 1 Crore+",Rs 0 ~
1383,Faizal Abdul Ajij Popere,SHRIVARDHAN,MNS,0,12th Pass,,
1384,Fallu Uttamrao Tambe,MAJALGAON,IND,0,Post Graduate,"Rs 1,13,99,130 ~ 1 Crore+",Rs 0 ~
1385,Farhan Habib Chaudhary,BYCULLA,Peace Party,0,12th Pass,"Rs 34,700 ~ 34 Thou+",Rs 0 ~
1386,Farhan Shakeel Ahmed,MALEGAON CENTRAL,Minorities Democratic Party,0,10th Pass,,
1387,Farhana Siraj Sayed,ANDHERI EAST,IND,0,10th Pass,"Rs 7,79,438 ~ 7 Lacs+",Rs 0 ~
1388,Farookh Khan Rauf Khan,PARBHANI,IND,0,12th Pass,"Rs 1,20,000 ~ 1 Lacs+",Rs 0 ~
1389,Farooq Makbool Shabdi,SOLAPUR CITY CENTRAL,All India Majlis-E-Ittehadul Muslimeen,0,12th Pass,,
1390,Farooq Saleem Sayyed,MAHIM,Bahujan Republican Socialist Party,0,5th Pass,"Rs 5,35,700 ~ 5 Lacs+",Rs 0 ~
1391,Farooque Ahmed,NANDED SOUTH,Vanchit Bahujan Aaghadi,1,Graduate,"Rs 2,76,12,796 ~ 2 Crore+","Rs 1,16,11,660 ~ 1 Crore+"
1392,Fayajmiyan Pashamiyan Shaikh,NILANGA,IND,1,12th Pass,,
1393,Firoz Ahmad Ansari,KAMTHI,IND,9,5th Pass,"Rs 47,51,894 ~ 47 Lacs+",Rs 0 ~
1394,Firoz Dagdu Tadvi,NANDURBAR (ST),All India Hindustan Congress Party,0,Post Graduate,"Rs 1,62,500 ~ 1 Lacs+",Rs 0 ~
1395,Firoz Kha Pathan,DHAMANGAON RAILWAY,All India Majlis-E-Inquilab-E-Millat,0,12th Pass,,
1396,Firoz Mulla (Sir),SHIVAJINAGAR,SDPI,0,8th Pass,"Rs 89,000 ~ 89 Thou+",Rs 0 ~
1397,Firoz Shaikh Karim,NANDGAON,IND,1,8th Pass,"Rs 3,18,786 ~ 3 Lacs+",Rs 0 ~
1398,Fuke Raju Nanaji,MORSHI,IND,0,Graduate,,
1399,Gadakh Shankarrao Yashwantrao,NEVASA,Shiv Sena (Uddhav Balasaheb Thackeray),2,Graduate,"Rs 4,83,56,995 ~ 4 Crore+",Rs 0 ~
1400,Gade Shashikant Madhavrao (Sir),AHMEDNAGAR CITY,IND,1,Graduate Professional,"Rs 20,90,52,253 ~ 20 Crore+","Rs 1,96,63,993 ~ 1 Crore+"
1401,Gadgale Rajkumar Maroti,LATUR RURAL,IND,0,8th Pass,,
1402,Gaffar Ibrahim Sayed,CHANDIVALI,All India Majlis-E-Inquilab-E-Millat,0,Graduate Professional,"Rs 16,66,339 ~ 16 Lacs+",Rs 0 ~
1403,Gaikar Karan Pandharinath,NASHIK EAST,Maharashtra Swarajya party,3,12th Pass,"Rs 1,54,91,715 ~ 1 Crore+","Rs 12,86,000 ~ 12 Lacs+"
1404,Gaikwad Amol Suresh,PANDHARPUR,IND,0,Graduate,,
1405,Gaikwad Bhagwat Dhondiba,SANGMNER,All India Forward Bloc,0,Graduate,"Rs 1,71,19,431 ~ 1 Crore+","Rs 3,66,000 ~ 3 Lacs+"
1406,Gaikwad Bharat Kantilal,DINDORI (ST),Bhartiya Tribal Party,0,Post Graduate,"Rs 98,800 ~ 98 Thou+",Rs 0 ~
1407,Gaikwad Chandar Namdev,DINDORI (ST),Nirbhay Maharashtra Party,0,10th Pass,,
1408,Gaikwad Niloba Changdeo,KHED ALANDI,IND,0,Graduate Professional,"Rs 39,06,378 ~ 39 Lacs+",Rs 0 ~
1409,Gaikwad Sanjay Rambhau,BULDHANA,Shiv Sena,4,8th Pass,"Rs 4,56,09,670 ~ 4 Crore+","Rs 91,00,000 ~ 91 Lacs+"
1410,Gaikwad Surekha Magardhwaj,PARVATI,Vanchit Bahujan Aaghadi,0,12th Pass,,
1411,Gaikwad Vidyadhar Krishna,KARAD SOUTH,BSP,0,Graduate,"Rs 1,40,000 ~ 1 Lacs+","Rs 20,45,000 ~ 20 Lacs+"
1412,Gaikwad Vishnu Pandurang,KARVIR,BSP,0,Graduate,"Rs 3,54,500 ~ 3 Lacs+","Rs 7,50,000 ~ 7 Lacs+"
1413,Gajala Mubin Mulla (Aashtekar),SHIROL,IND,0,12th Pass,,
1414,Gajanan Bapurao Kale,HADGAON,IND,1,Others,"Rs 71,30,000 ~ 71 Lacs+","Rs 6,02,566 ~ 6 Lacs+"
1415,Gajanan Dnyanba Lokhande,RISOD,Lokrajya Party,0,Graduate,"Rs 63,05,905 ~ 63 Lacs+","Rs 99,209 ~ 99 Thou+"
